"code","country","siteid","site_name","compiler","species","common_name","years_monitored","latitude","longitude","nesting_status"
"US","United States (contiguous)","US09","Flagler",NA,"Caretta caretta","Loggerhead Sea Turtle",2014,29.5477761158,-81.160064096,"QUANTIFIED"
"US","United States (contiguous)","US09","Flagler",NA,"Chelonia mydas","Green Sea Turtle",2014,29.5477761158,-81.160064096,"QUANTIFIED"
"US","United States (contiguous)","US09","Flagler",NA,"Dermochelys coriacea","Leatherback Sea Turtle",2014,29.5477761158,-81.160064096,"QUANTIFIED"
"US","United States (contiguous)","US09","Flagler",NA,"Eretmochelys imbricata","Hawksbill Sea Turtle",2014,29.5477761158,-81.160064096,"NO-NESTING"
"US","United States (contiguous)","US09","Flagler",NA,"Lepidochelys kempii","Kemp's Ridley",2014,29.5477761158,-81.160064096,"NO-NESTING"
"US","United States (contiguous)","US10","Franklin",NA,"Caretta caretta","Loggerhead Sea Turtle",2014,29.7081671562,-84.7472553084,"QUANTIFIED"
"US","United States (contiguous)","US10","Franklin",NA,"Chelonia mydas","Green Sea Turtle",2014,29.7081671562,-84.7472553084,"QUANTIFIED"
"US","United States (contiguous)","US10","Franklin",NA,"Dermochelys coriacea","Leatherback Sea Turtle",2014,29.7081671562,-84.7472553084,"QUANTIFIED"
"US","United States (contiguous)","US10","Franklin",NA,"Eretmochelys imbricata","Hawksbill Sea Turtle",2014,29.7081671562,-84.7472553084,"NO-NESTING"
"US","United States (contiguous)","US10","Franklin",NA,"Lepidochelys kempii","Kemp's Ridley",2014,29.7081671562,-84.7472553084,"NO-NESTING"
"US","United States (contiguous)","US119","Garden City","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2013,33.574523,-79.000236,"QUANTIFIED"
"US","United States (contiguous)","US11","Gulf",NA,"Caretta caretta","Loggerhead Sea Turtle",2014,29.7399217793,-85.3968533642,"QUANTIFIED"
"US","United States (contiguous)","US11","Gulf",NA,"Chelonia mydas","Green Sea Turtle",2014,29.7399217793,-85.3968533642,"NO-NESTING"
"US","United States (contiguous)","US11","Gulf",NA,"Dermochelys coriacea","Leatherback Sea Turtle",2014,29.7399217793,-85.3968533642,"NO-NESTING"
"US","United States (contiguous)","US11","Gulf",NA,"Eretmochelys imbricata","Hawksbill Sea Turtle",2014,29.7399217793,-85.3968533642,"NO-NESTING"
"US","United States (contiguous)","US11","Gulf",NA,"Lepidochelys kempii","Kemp's Ridley",2014,29.7399217793,-85.3968533642,"NO-NESTING"
"US","United States (contiguous)","WCUSMS1","Gulf Islands National Seashore","WIDECAST","Caretta caretta","Loggerhead Sea Turtle",2006,30.2251,-88.6203,"QUANTIFIED"
"US","United States (contiguous)","US12","Hillsborough",NA,"Caretta caretta","Loggerhead Sea Turtle",2014,27.586515012,-82.7605970538,"QUANTIFIED"
"US","United States (contiguous)","US12","Hillsborough",NA,"Chelonia mydas","Green Sea Turtle",2014,27.586515012,-82.7605970538,"NO-NESTING"
